# 📊 Полный анализ всех цветов в CSS файлах Arsenal
# Дата анализа: 11 января 2026 г.
# Всего уникальных цветов: 150

## 🏆 ТОП-50 САМЫХ ИСПОЛЬЗУЕМЫХ ЦВЕТОВ

| Место | Цвет | Частота использования |
|-------|------|----------------------|
| 1 | \$([#1a1a1a1a, 56].Name)\ | **56** |
| 2 | \$([#ff1a1a, 46].Name)\ | **46** |
| 3 | \$([#ffffff, 33].Name)\ | **33** |
| 4 | \$([#fff, 33].Name)\ | **33** |
| 5 | \$([#0a0a0a, 32].Name)\ | **32** |
| 6 | \$([#990000, 24].Name)\ | **24** |
| 7 | \$([var(--red-700, #ff1a1a), 22].Name)\ | **22** |
| 8 | \$([#4a5565, 21].Name)\ | **21** |
| 9 | \$([var(--container-padding-x), 21].Name)\ | **21** |
| 10 | \$([var(--container-padding-y), 21].Name)\ | **21** |
| 11 | \$([transparent, 20].Name)\ | **20** |
| 12 | \$([#6a7282, 19].Name)\ | **19** |
| 13 | \$([var(--container-max-width), 18].Name)\ | **18** |
| 14 | \$([#c41e3a, 18].Name)\ | **18** |
| 15 | \$([#fafafa, 16].Name)\ | **16** |
| 16 | \$([#f9fafb, 16].Name)\ | **16** |
| 17 | \$([#e0e0e0, 16].Name)\ | **16** |
| 18 | \$([#e5e7eb, 13].Name)\ | **13** |
| 19 | \$([#1a1a1a, 12].Name)\ | **12** |
| 20 | \$([#666, 11].Name)\ | **11** |
| 21 | \$([#f5f5f5, 11].Name)\ | **11** |
| 22 | \$([#99a1af, 11].Name)\ | **11** |
| 23 | \$([#333, 11].Name)\ | **11** |
| 24 | \$([#ffffffcc, 10].Name)\ | **10** |
| 25 | \$([var(--color-text-light), 10].Name)\ | **10** |
| 26 | \$([#cc0000, 10].Name)\ | **10** |
| 27 | \$([currentcolor, 9].Name)\ | **9** |
| 28 | \$([var(--color-text-light, #ffffff), 9].Name)\ | **9** |
| 29 | \$([#ffe5e5, 8].Name)\ | **8** |
| 30 | \$([inherit, 8].Name)\ | **8** |
| 31 | \$([#101828, 7].Name)\ | **7** |
| 32 | \$([#0d0d0d0d, 6].Name)\ | **6** |
| 33 | \$([var(--red-900, #990000), 6].Name)\ | **6** |
| 34 | \$([var(--red-700), 6].Name)\ | **6** |
| 35 | \$([#ffffff26, 5].Name)\ | **5** |
| 36 | \$([#33333333, 5].Name)\ | **5** |
| 37 | \$([#d1d5dc, 5].Name)\ | **5** |
| 38 | \$([#212121, 5].Name)\ | **5** |
| 39 | \$([#c8102e, 5].Name)\ | **5** |
| 40 | \$([var(--radius-md), 5].Name)\ | **5** |
| 41 | \$([#999, 4].Name)\ | **4** |
| 42 | \$([#364153, 4].Name)\ | **4** |
| 43 | \$([#4d4d4d4d, 4].Name)\ | **4** |
| 44 | \$([var(--color-charcoal, #212121), 4].Name)\ | **4** |
| 45 | \$([#e5e5e5, 4].Name)\ | **4** |
| 46 | \$([#ffffff40, 4].Name)\ | **4** |
| 47 | \$([#ffffff4d, 4].Name)\ | **4** |
| 48 | \$([var(--red-800, #cc0000), 3].Name)\ | **3** |
| 49 | \$([#155dfc, 3].Name)\ | **3** |
| 50 | \$([var(--red-100), 3].Name)\ | **3** |

## 📋 ПОЛНЫЙ СПИСОК ВСЕХ ЦВЕТОВ (150)

| Цвет | Частота |
|------|---------|
| \$([#1a1a1a1a, 56].Name)\ | 56 |
| \$([#ff1a1a, 46].Name)\ | 46 |
| \$([#ffffff, 33].Name)\ | 33 |
| \$([#fff, 33].Name)\ | 33 |
| \$([#0a0a0a, 32].Name)\ | 32 |
| \$([#990000, 24].Name)\ | 24 |
| \$([var(--red-700, #ff1a1a), 22].Name)\ | 22 |
| \$([#4a5565, 21].Name)\ | 21 |
| \$([var(--container-padding-x), 21].Name)\ | 21 |
| \$([var(--container-padding-y), 21].Name)\ | 21 |
| \$([transparent, 20].Name)\ | 20 |
| \$([#6a7282, 19].Name)\ | 19 |
| \$([var(--container-max-width), 18].Name)\ | 18 |
| \$([#c41e3a, 18].Name)\ | 18 |
| \$([#fafafa, 16].Name)\ | 16 |
| \$([#f9fafb, 16].Name)\ | 16 |
| \$([#e0e0e0, 16].Name)\ | 16 |
| \$([#e5e7eb, 13].Name)\ | 13 |
| \$([#1a1a1a, 12].Name)\ | 12 |
| \$([#666, 11].Name)\ | 11 |
| \$([#f5f5f5, 11].Name)\ | 11 |
| \$([#99a1af, 11].Name)\ | 11 |
| \$([#333, 11].Name)\ | 11 |
| \$([#ffffffcc, 10].Name)\ | 10 |
| \$([var(--color-text-light), 10].Name)\ | 10 |
| \$([#cc0000, 10].Name)\ | 10 |
| \$([currentcolor, 9].Name)\ | 9 |
| \$([var(--color-text-light, #ffffff), 9].Name)\ | 9 |
| \$([#ffe5e5, 8].Name)\ | 8 |
| \$([inherit, 8].Name)\ | 8 |
| \$([#101828, 7].Name)\ | 7 |
| \$([#0d0d0d0d, 6].Name)\ | 6 |
| \$([var(--red-900, #990000), 6].Name)\ | 6 |
| \$([var(--red-700), 6].Name)\ | 6 |
| \$([#ffffff26, 5].Name)\ | 5 |
| \$([#33333333, 5].Name)\ | 5 |
| \$([#d1d5dc, 5].Name)\ | 5 |
| \$([#212121, 5].Name)\ | 5 |
| \$([#c8102e, 5].Name)\ | 5 |
| \$([var(--radius-md), 5].Name)\ | 5 |
| \$([#999, 4].Name)\ | 4 |
| \$([#364153, 4].Name)\ | 4 |
| \$([#4d4d4d4d, 4].Name)\ | 4 |
| \$([var(--color-charcoal, #212121), 4].Name)\ | 4 |
| \$([#e5e5e5, 4].Name)\ | 4 |
| \$([#ffffff40, 4].Name)\ | 4 |
| \$([#ffffff4d, 4].Name)\ | 4 |
| \$([var(--red-800, #cc0000), 3].Name)\ | 3 |
| \$([#155dfc, 3].Name)\ | 3 |
| \$([var(--red-100), 3].Name)\ | 3 |
| \$([#ffffff66, 3].Name)\ | 3 |
| \$([var(--red-500), 3].Name)\ | 3 |
| \$([#ffffff33, 3].Name)\ | 3 |
| \$([#ff1a1a66, 3].Name)\ | 3 |
| \$([#14141414, 3].Name)\ | 3 |
| \$([#f8f8f8, 3].Name)\ | 3 |
| \$([var(--accent-color), 3].Name)\ | 3 |
| \$([#008236, 3].Name)\ | 3 |
| \$([#ffffff99, 2].Name)\ | 2 |
| \$([var(--color-dark-green, #093733), 2].Name)\ | 2 |
| \$([var(--shadow-sm), 2].Name)\ | 2 |
| \$([#000000cc, 2].Name)\ | 2 |
| \$([#00a63e, 2].Name)\ | 2 |
| \$([#ead6be, 2].Name)\ | 2 |
| \$([#22c55e, 2].Name)\ | 2 |
